Occupation	"Total, 16
years and
 over"	"16 to 19 
years"	"20 to 24 
years"	"25 to 34 
years"	"35 to 44 
years"	"45 to 54 
years"	"55 to 64 
years"	"65 years
and over"	"Median
 age"
Helpers, construction trades	71	10	21	21	8	7	4	1	27.8
Construction and building inspectors	103	0	6	16	18	19	30	13	50.3
Elevator and escalator installers and repairers	38	0	0	8	11	10	8	0	–
Fence erectors	41	4	8	11	10	3	3	1	–
Hazardous materials removal workers	27	1	4	9	2	4	4	2	–
Highway maintenance workers	99	0	5	22	20	18	25	9	46.4
Rail-track laying and maintenance equipment operators	15	1	0	3	3	5	3	0	–
Septic tank servicers and sewer pipe cleaners	11	0	1	4	3	1	0	1	–
Miscellaneous construction and related workers	26	1	3	5	5	7	4	2	–
Derrick, rotary drill, and service unit operators, oil and gas	21	0	2	3	8	5	3	0	–
Excavating and loading machine and dragline operators, surface mining	4	1	0	1	0	2	1	0	–
Earth drillers, except oil and gas	27	1	0	8	3	9	4	3	–
Explosives workers, ordnance handling experts, and blasters	14	0	0	2	3	5	4	0	–
Underground mining machine operators	33	0	2	10	6	6	8	1	–
Roustabouts, oil and gas	3	0	0	2	1	0	0	0	–
Other extraction workers	55	2	8	17	18	6	5	0	36.4
Installation, maintenance, and repair occupations	4,840	100	396	1,120	1,039	1,021	900	265	42.9
First-line supervisors of mechanics, installers, and repairers	222	0	3	34	51	51	69	14	49.6
Computer, automated teller, and office machine repairers	176	1	12	44	48	35	23	12	41.1
Radio and telecommunications equipment installers and repairers	155	5	16	28	28	43	27	8	43.2
Avionics technicians	5	0	0	1	1	1	3	0	–
Electric motor, power tool, and related repairers	21	0	0	6	8	2	4	0	–
Electrical and electronics installers and repairers, transportation equipment	1	0	0	0	0	0	0	0	–
Electrical and electronics repairers, industrial and utility	13	0	0	5	1	2	3	0	–
Electronic equipment installers and repairers, motor vehicles	9	0	2	4	2	1	1	0	–
Audiovisual equipment installers and repairers	22	0	1	7	6	3	4	0	–
Security and fire alarm systems installers	72	1	7	21	16	11	10	5	39.8
Aircraft mechanics and service technicians	150	1	6	37	31	36	36	4	46.0
Automotive body and related repairers	123	4	15	22	17	32	23	10	47.4
Automotive glass installers and repairers	28	1	2	12	6	3	4	1	–
Automotive service technicians and mechanics	864	33	98	219	174	159	138	42	40.1
Bus and truck mechanics and diesel engine specialists	362	12	33	96	73	70	59	19	40.2
Heavy vehicle and mobile equipment service technicians and mechanics	248	3	21	60	58	59	38	10	41.9
Small engine mechanics	43	3	3	8	7	14	7	2	–
Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	84	8	16	20	17	12	12	0	33.2
Control and valve installers and repairers	20	0	0	4	3	5	7	0	–
Heating, air conditioning, and refrigeration mechanics and installers	445	6	41	99	118	80	79	21	41.9
Home appliance repairers	49	1	6	7	17	8	5	5	–
Industrial and refractory machinery mechanics	429	3	16	96	86	106	95	27	46.9
Maintenance and repair workers, general	614	9	33	116	124	143	141	47	46.4
Maintenance workers, machinery	29	0	5	4	2	7	9	2	–
Millwrights	48	0	1	7	15	13	11	1	–
Electrical power-line installers and repairers	125	1	15	45	27	22	15	1	37.4
Telecommunications line installers and repairers	134	0	10	37	37	28	15	7	40.4
Precision instrument and equipment repairers	68	0	4	19	14	12	12	6	44.2
Wind turbine service technicians	11	0	1	6	4	0	0	0	–
Coin, vending, and amusement machine servicers and repairers	29	0	4	3	6	8	7	2	–
Commercial divers	2	0	0	1	0	2	0	0	–
Locksmiths and safe repairers	30	0	1	6	7	5	6	4	–
Manufactured building and mobile home installers	1	0	0	0	0	0	0	0	–
Riggers	6	0	0	0	0	2	1	2	–
Helpers--installation, maintenance, and repair workers	19	3	2	3	1	4	5	1	–
Other installation, maintenance, and repair workers	182	5	19	42	34	43	32	8	42.4
									
Production, transportation, and material moving occupations	19,309	825	2,087	4,257	3,644	3,810	3,514	1,172	42.0
Production occupations	7,950	206	710	1,772	1,661	1,685	1,534	383	43.0
First-line supervisors of production and operating workers	767	1	22	156	178	204	165	41	45.9
Aircraft structure, surfaces, rigging, and systems assemblers	6	0	1	0	2	0	2	0	–
Electrical, electronics, and electromechanical assemblers	110	1	6	27	15	23	31	7	46.8
Engine and other machine assemblers	7	0	1	1	1	0	2	1	–
Structural metal fabricators and fitters	13	1	0	1	5	3	2	1	–
Other assemblers and fabricators	957	34	106	228	175	212	161	41	41.5
Bakers	229	11	30	46	46	46	36	15	41.7
Butchers and other meat, poultry, and fish processing workers	246	12	31	58	49	36	48	13	40.6
Food and tobacco roasting, baking, and drying machine operators and tenders	9	1	1	2	1	0	4	0	–
Food batchmakers	93	11	16	17	18	13	16	3	36.6
Food cooking machine operators and tenders	8	1	3	2	0	1	0	0	–
Food processing workers, all other	144	5	14	35	32	28	25	5	41.5
Computer numerically controlled tool operators and programmers	90	1	5	24	19	18	23	1	44.0
Forming machine setters, operators, and tenders, metal and plastic	25	1	3	6	1	4	10	1	–
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic	70	0	3	23	15	9	15	3	42.7
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic	32	0	10	4	5	5	5	2	–
Other machine tool setters, operators, and tenders, metal and plastic	8	0	0	2	0	1	4	1	–
Machinists	323	3	29	68	70	57	79	17	44.4
Metal furnace operators, tenders, pourers, and casters	17	1	1	9	2	5	0	0	–
Model makers and patternmakers, metal and plastic	1	0	1	0	1	0	0	0	–
Molders and molding machine setters, operators, and tenders, metal and plastic	29	0	1	4	11	7	5	1	–
Tool and die makers	43	4	1	4	6	9	14	4	–
Welding, soldering, and brazing workers	555	19	76	128	119	110	89	14	40.0
Other metal workers and plastic workers	335	6	29	70	72	72	75	10	43.7
Prepress technicians and workers	17	0	0	6	2	6	1	1	–
Printing press operators	143	3	10	26	35	29	32	7	44.7
Print binding and finishing workers	8	0	0	0	2	1	4	0	–
Laundry and dry-cleaning workers	116	3	3	16	20	30	32	12	50.4
Pressers, textile, garment, and related materials	17	0	1	2	7	2	4	2	–
Sewing machine operators	120	1	5	17	33	27	27	10	47.3
Shoe and leather workers	18	0	0	6	4	2	5	1	–
Tailors, dressmakers, and sewers	58	0	1	12	7	9	17	13	54.1
Textile machine setters, operators, and tenders	12	0	0	4	1	4	3	0	–
Upholsterers	20	0	1	4	3	5	6	1	–
Other textile, apparel, and furnishings workers	14	1	0	2	4	3	4	1	–
Cabinetmakers and bench carpenters	67	2	8	10	11	17	15	4	45.2
Furniture finishers	11	0	1	3	1	4	2	1	–
Sawing machine setters, operators, and tenders, wood	26	3	1	6	4	8	2	3	–
Woodworking machine setters, operators, and tenders, except sawing	16	1	1	2	4	6	2	0	–
Other woodworkers	22	1	2	5	4	4	3	3	–
Power plant operators, distributors, and dispatchers	32	0	1	7	9	3	10	1	–
Stationary engineers and boiler operators	66	0	2	10	6	15	27	5	52.7
Water and wastewater treatment plant and system operators	99	2	7	16	26	17	26	5	45.6
Miscellaneous plant and system operators	37	0	1	10	14	6	5	1	–
Chemical processing machine setters, operators, and tenders	72	3	2	21	14	21	9	2	42.8
Crushing, grinding, polishing, mixing, and blending workers	76	2	10	16	15	18	13	3	41.1
Cutting workers	53	1	6	11	9	12	11	2	45.5
Extruding, forming, pressing, and compacting machine setters, operators, and tenders	25	0	1	6	10	2	5	1	–
Furnace, kiln, oven, drier, and kettle operators and tenders	13	0	1	3	1	3	4	1	–
Inspectors, testers, sorters, samplers, and weighers	829	20	71	204	163	183	145	42	42.2
Jewelers and precious stone and metal workers	51	0	3	10	7	13	12	6	50.5
Dental and ophthalmic laboratory technicians and medical appliance technicians	73	1	9	18	17	10	13	4	39.9
Packaging and filling machine operators and tenders	253	9	35	49	51	62	39	8	41.4
Painting workers	153	1	13	38	44	35	18	5	41.1
Photographic process workers and processing machine operators	21	0	1	4	6	3	7	0	–
Adhesive bonding machine operators and tenders	11	0	0	4	3	0	3	0	–
Etchers and engravers	2	0	0	0	0	1	1	0	–
Molders, shapers, and casters, except metal and plastic	21	0	2	6	3	5	4	1	–
Paper goods machine setters, operators, and tenders	16	0	2	5	3	3	2	1	–
Tire builders	8	0	0	1	3	3	0	1	–
Helpers--production workers	53	8	12	6	7	11	6	4	35.6
Other production equipment operators and tenders	6	0	2	1	2	1	1	0	–
Other production workers	1,178	30	105	291	260	240	203	49	41.4
Transportation and material moving occupations	11,359	619	1,377	2,486	1,983	2,125	1,980	789	41.2
Supervisors of transportation and material moving workers	355	3	22	94	66	87	68	13	44.5
Aircraft pilots and flight engineers	158	2	5	28	40	36	39	7	45.7
Air traffic controllers and airfield operations specialists	31	0	0	8	11	4	5	2	–
Flight attendants	105	0	4	26	15	26	24	9	47.8
Ambulance drivers and attendants, except emergency medical technicians	7	0	5	1	0	0	0	0	–
Bus drivers, school	276	1	5	22	34	54	100	59	55.6
Bus drivers, transit and intercity	241	1	2	31	35	61	68	42	53.3
Driver/sales workers and truck drivers	3,487	74	218	658	690	813	748	286	46.3
Shuttle drivers and chauffeurs	57	0	1	7	8	15	8	18	56.2
Taxi drivers	337	3	19	85	65	73	61	32	44.1
Motor vehicle operators, all other	163	2	8	23	22	21	46	40	53.3
Locomotive engineers and operators	39	0	0	5	10	14	8	2	–
Railroad conductors and yardmasters	39	0	0	6	13	12	8	1	–
Other rail transportation workers	14	0	0	5	3	4	1	1	–
Sailors and marine oilers	18	1	3	9	1	2	0	2	–
Ship and boat captains and operators	26	0	4	6	3	7	4	2	–
Ship engineers	3	0	0	0	2	1	1	0	–
Parking attendants	71	8	11	14	13	11	11	4	38.2
Transportation service attendants	89	14	24	18	11	10	9	4	28.0
Transportation inspectors	36	0	1	3	5	13	12	2	–
Passenger attendants	17	1	3	1	2	3	2	6	–
Other transportation workers	30	1	3	8	7	4	6	1	–
Crane and tower operators	56	1	3	9	14	14	13	2	46.1
Conveyor, dredge, and hoist and winch operators	35	1	2	12	4	5	8	4	–
Industrial truck and tractor operators	623	9	56	182	116	138	100	22	40.9
Cleaners of vehicles and equipment	301	39	49	72	50	40	37	15	33.7
Laborers and freight, stock, and material movers, hand	2,161	165	389	562	372	326	259	88	35.0
Machine feeders and offbearers	22	2	9	3	4	1	2	2	–
Packers and packagers, hand	742	81	154	185	103	109	76	34	32.0
Stockers and order fillers	1,652	205	357	365	230	192	224	77	31.9
Pumping station operators	16	0	0	3	5	5	2	2	–
Refuse and recyclable material collectors	87	4	9	21	17	15	17	6	40.9
Other material moving workers	66	2	11	16	12	10	11	6	39.1
